ablation,x_mse,y_mse,x_r2,y_r2,overall_mse
none,4.282838821411133,31.945621490478516,0.9969366192817688,0.9799137115478516,18.11423110961914
mask_linear_top32,1291.97802734375,20365.73046875,0.0758865475654602,-11.805240631103516,10828.8544921875
mask_random32,833.1935424804688,12836.4267578125,0.40404146909713745,-7.071084976196289,6834.810546875
mask_high_variance32,691.092529296875,13808.5654296875,0.505682110786438,-7.682331085205078,7249.82958984375
