task,overall_mse,r2,pearson,sigma_min,sigma_mean,sigma_max,first_loss,last_loss,grad_norm
toy_A_identity,1.8369925022125244,-37.552772521972656,0.9999998807907104,0.6515408754348755,0.7017643451690674,0.7368606328964233,0.9714653114588789,0.08599307139714558,0.17075908491667152
toy_B_sin,0.10302136093378067,-6.832671642303467,-0.9872273206710815,0.6139661073684692,0.6920793652534485,0.8251913785934448,1.0002587951539392,0.19188368453659824,0.22774037029529784
toy_C_additive,0.13307200372219086,0.9352630972862244,0.9978929758071899,0.6018924713134766,0.7159684300422668,0.8626204133033752,0.986738764595941,0.06596375292850384,0.23528277656450083
toy_D_product,0.21891795098781586,0.7318069934844971,0.9752964973449707,0.6053634881973267,0.6863448023796082,1.1046359539031982,1.0002023759722931,0.30556381583990777,0.3699159377957406
