subset,model,x_mse,y_mse,x_r2,y_r2,overall_mse
action_error_top20,action_only_linear,7.600499629974365,0.39357033371925354,0.6002147793769836,0.9787116050720215,3.997035026550293
action_error_top20,z_action_residual_recon_linear,4.088565826416016,0.2898194193840027,0.7849420309066772,0.9843235611915588,2.189192295074463
action_error_top20,hK8_action_residual_recon_linear,7.267348289489746,0.3835688829421997,0.6177384853363037,0.9792525768280029,3.8254587650299072
action_error_top20,hK16_action_residual_recon_linear,7.435846328735352,0.37911343574523926,0.6088755130767822,0.9794935584068298,3.907479763031006
action_error_top10,action_only_linear,14.943459510803223,0.7797274589538574,-0.13120949268341064,0.9572188258171082,7.861594200134277
action_error_top10,z_action_residual_recon_linear,7.8551812171936035,0.5642839670181274,0.40536820888519287,0.9690394997596741,4.209732532501221
action_error_top10,hK8_action_residual_recon_linear,14.25333023071289,0.7589792609214783,-0.07896721363067627,0.9583572149276733,7.506154537200928
action_error_top10,hK16_action_residual_recon_linear,14.60108470916748,0.7496799230575562,-0.10529196262359619,0.9588674306869507,7.675382137298584
high_residual_top20,action_only_linear,7.600499629974365,0.39357033371925354,0.6002147793769836,0.9787116050720215,3.997035026550293
high_residual_top20,z_action_residual_recon_linear,4.088565826416016,0.2898194193840027,0.7849420309066772,0.9843235611915588,2.189192295074463
high_residual_top20,hK8_action_residual_recon_linear,7.267348289489746,0.3835688829421997,0.6177384853363037,0.9792525768280029,3.8254587650299072
high_residual_top20,hK16_action_residual_recon_linear,7.435846328735352,0.37911343574523926,0.6088755130767822,0.9794935584068298,3.907479763031006
large_action_small_disp,action_only_linear,9.238987922668457,0.50391685962677,-0.5133442878723145,0.9689277410507202,4.871452331542969
large_action_small_disp,z_action_residual_recon_linear,3.401411771774292,0.37563392519950867,0.44284945726394653,0.9768378734588623,1.8885225057601929
large_action_small_disp,hK8_action_residual_recon_linear,8.500060081481934,0.4906330704689026,-0.3923081159591675,0.9697468876838684,4.495347499847412
large_action_small_disp,hK16_action_residual_recon_linear,8.924346923828125,0.48463869094848633,-0.461806058883667,0.9701164960861206,4.704492568969727
