task,ablation,x_mse,y_mse,x_r2,y_r2,overall_mse,delta_overall_mse
h_action_to_delta,none,1.6154590845108032,0.08013959974050522,0.9104434847831726,0.9956979751586914,0.8477993011474609
h_action_to_delta,mask_h0,1.616087794303894,0.0803275927901268,0.910408616065979,0.9956879019737244,0.8482077121734619,0.00040841102600097656
h_action_to_delta,mask_h1,1.6154881715774536,0.08053410053253174,0.9104418754577637,0.9956768155097961,0.8480110764503479,0.0002117753028869629
h_action_to_delta,mask_h2,1.616747498512268,0.0802304744720459,0.9103720188140869,0.9956930875778198,0.8484889268875122,0.0006896257400512695
h_action_to_delta,mask_h3,1.6155569553375244,0.08071450889110565,0.910438060760498,0.9956670999526978,0.848135769367218,0.0003364682197570801
h_action_to_delta,mask_h4,1.6154857873916626,0.08064154535531998,0.9104419946670532,0.9956710338592529,0.8480637073516846,0.0002644062042236328
h_action_to_delta,mask_h5,1.6203051805496216,0.08017680048942566,0.9101748466491699,0.9956960082054138,0.8502408862113953,0.002441585063934326
h_action_to_delta,mask_h6,1.6156799793243408,0.08014050871133804,0.9104312062263489,0.9956979155540466,0.8479102849960327,0.00011098384857177734
h_action_to_delta,mask_h7,1.6155633926391602,0.08013119548559189,0.9104377031326294,0.9956984519958496,0.8478472828865051,4.798173904418945e-05
h_action_to_delta,mask_h8,1.6168758869171143,0.08022204786539078,0.9103649258613586,0.995693564414978,0.8485488891601562,0.0007495880126953125
h_action_to_delta,mask_h9,1.6181687116622925,0.08019762486219406,0.9102932810783386,0.9956948757171631,0.849183201789856,0.0013839006423950195
h_action_to_delta,mask_h10,1.615507960319519,0.08018490672111511,0.9104407429695129,0.9956955313682556,0.8478464484214783,4.7147274017333984e-05
h_action_to_delta,mask_h11,1.6350657939910889,0.0805727168917656,0.9093565344810486,0.995674729347229,0.8578191995620728,0.010019898414611816
h_action_to_delta,mask_h12,1.6243990659713745,0.0801859200000763,0.9099478721618652,0.9956954717636108,0.8522924780845642,0.0044931769371032715
h_action_to_delta,mask_h13,1.6153881549835205,0.08114960789680481,0.9104474186897278,0.9956437349319458,0.8482688069343567,0.00046950578689575195
h_action_to_delta,mask_h14,1.6164109706878662,0.08013968169689178,0.9103907346725464,0.9956979751586914,0.8482753038406372,0.00047600269317626953
h_action_to_delta,mask_h15,1.6173218488693237,0.08072782307863235,0.9103401899337769,0.9956663846969604,0.849024772644043,0.0012254714965820312
h_action_to_residual,none,1.6154512166976929,0.08015146851539612,0.011985063552856445,0.023674190044403076,0.8478013277053833
h_action_to_residual,mask_h0,1.6160826683044434,0.08033408969640732,0.011598825454711914,0.021449685096740723,0.8482083678245544,0.0004070401191711426
h_action_to_residual,mask_h1,1.6154805421829224,0.08053982257843018,0.011967122554779053,0.018943607807159424,0.8480101227760315,0.00020879507064819336
h_action_to_residual,mask_h2,1.6167378425598145,0.08024438470602036,0.011198163032531738,0.022542297840118408,0.8484911322593689,0.0006898045539855957
h_action_to_residual,mask_h3,1.6155482530593872,0.08071111887693405,0.011925697326660156,0.016857028007507324,0.8481296896934509,0.00032836198806762695
h_action_to_residual,mask_h4,1.6154783964157104,0.08064763993024826,0.011968374252319336,0.017630338668823242,0.8480629920959473,0.00026166439056396484
h_action_to_residual,mask_h5,1.6202943325042725,0.08018644899129868,0.009023010730743408,0.023248016834259033,0.8502404093742371,0.0024390816688537598
h_action_to_residual,mask_h6,1.6156729459762573,0.08015203475952148,0.011849403381347656,0.023667216300964355,0.847912609577179,0.0001112818717956543
h_action_to_residual,mask_h7,1.6155569553375244,0.0801430195569992,0.011920332908630371,0.023777127265930176,0.8478500247001648,4.869699478149414e-05
h_action_to_residual,mask_h8,1.6168729066848755,0.0802336037158966,0.011115550994873047,0.02267366647720337,0.8485532402992249,0.0007519125938415527
h_action_to_residual,mask_h9,1.6181601285934448,0.08020773530006409,0.010328292846679688,0.02298879623413086,0.8491839170455933,0.001382589340209961
h_action_to_residual,mask_h10,1.6155002117156982,0.08019571006298065,0.011955082416534424,0.023135244846343994,0.8478478789329529,4.655122756958008e-05
h_action_to_residual,mask_h11,1.6350741386413574,0.08058374375104904,-1.633167266845703e-05,0.018408596515655518,0.8578290343284607,0.010027706623077393
h_action_to_residual,mask_h12,1.6243864297866821,0.08020021766424179,0.006520271301269531,0.02308034896850586,0.8522933125495911,0.004491984844207764
h_action_to_residual,mask_h13,1.615380048751831,0.08114615827798843,0.01202857494354248,0.011557817459106445,0.848263144493103,0.00046181678771972656
h_action_to_residual,mask_h14,1.6164053678512573,0.08015155792236328,0.011401474475860596,0.02367311716079712,0.8482784628868103,0.00047713518142700195
h_action_to_residual,mask_h15,1.617318034172058,0.08072967082262039,0.010843336582183838,0.01663106679916382,0.8490237593650818,0.0012224316596984863
h_action_to_delta_h_first2,none,0.04638420045375824,0.09163965284824371,0.3087213635444641,0.2920205593109131,0.06901192665100098
h_action_to_delta_h_first2,mask_h0,0.07707136124372482,0.0959836095571518,-0.14861929416656494,0.25846052169799805,0.08652747422456741,0.017515547573566437
h_action_to_delta_h_first2,mask_h1,0.04719045013189316,0.2223121076822281,0.29670554399490356,-0.717514157295227,0.13475129008293152,0.06573936343193054
h_action_to_delta_h_first2,mask_h2,0.04647238552570343,0.09209233522415161,0.30740708112716675,0.28852325677871704,0.06928236037492752,0.0002704337239265442
h_action_to_delta_h_first2,mask_h3,0.047003667801618576,0.09219835698604584,0.29948920011520386,0.2877042293548584,0.06960100680589676,0.0005890801548957825
h_action_to_delta_h_first2,mask_h4,0.05180909112095833,0.09201297163963318,0.22787243127822876,0.2891364097595215,0.0719110369682312,0.0028991103172302246
h_action_to_delta_h_first2,mask_h5,0.056741274893283844,0.09361293911933899,0.15436649322509766,0.276775598526001,0.07517711073160172,0.0061651840806007385
h_action_to_delta_h_first2,mask_h6,0.0469401516020298,0.09164439141750336,0.3004358410835266,0.291983962059021,0.06929226964712143,0.0002803429961204529
h_action_to_delta_h_first2,mask_h7,0.046383947134017944,0.0935114398598671,0.30872511863708496,0.277559757232666,0.06994768977165222,0.0009357631206512451
h_action_to_delta_h_first2,mask_h8,0.0468573160469532,0.0930776372551918,0.3016703128814697,0.2809112071990967,0.06996747851371765,0.0009555518627166748
h_action_to_delta_h_first2,mask_h9,0.046466417610645294,0.0935412272810936,0.30749601125717163,0.27732956409454346,0.07000382989645004,0.0009919032454490662
h_action_to_delta_h_first2,mask_h10,0.04641023650765419,0.09164299070835114,0.3083333373069763,0.2919948101043701,0.06902661174535751,1.4685094356536865e-05
h_action_to_delta_h_first2,mask_h11,0.049038611352443695,0.0919986441731453,0.26916182041168213,0.2892470955848694,0.0705186277627945,0.001506701111793518
h_action_to_delta_h_first2,mask_h12,0.04648681730031967,0.09314708411693573,0.30719196796417236,0.2803746461868286,0.0698169469833374,0.0008050203323364258
h_action_to_delta_h_first2,mask_h13,0.052794069051742554,0.09651126712560654,0.21319299936294556,0.25438398122787476,0.07465266436338425,0.00564073771238327
h_action_to_delta_h_first2,mask_h14,0.048978593200445175,0.09167229384183884,0.27005624771118164,0.2917684316635132,0.07032543420791626,0.0013135075569152832
h_action_to_delta_h_first2,mask_h15,0.04725214093923569,0.09220649302005768,0.29578614234924316,0.28764134645462036,0.06972932070493698,0.0007173940539360046
