variant,pos_x_r2,pos_y_r2,delta_x_r2,delta_y_r2,res_x_r2,res_y_r2,h_var_min,h_var_mean,h_abs_corr_max_offdiag
aux_no_aux,0.9999210834503174,0.9999196529388428,-0.0680701732635498,-0.06117689609527588,-0.04789626598358154,-0.016185998916625977,1.0659435987472534,1.1802902221679688,0.8548572063446045
aux_delta,0.9998360872268677,0.999758780002594,0.9745177030563354,0.9963124394416809,-0.025890588760375977,-0.04432785511016846,0.6637912392616272,0.8778624534606934,0.7981434464454651
aux_hnext,0.9997705221176147,0.9997490644454956,-0.08222568035125732,-0.05221748352050781,-0.014080405235290527,-0.027424931526184082,0.7665451169013977,1.0342930555343628,0.4434252083301544
aux_residual,0.9976362586021423,0.9974185824394226,0.004052877426147461,-0.07548034191131592,0.8070520758628845,0.869922399520874,0.9177381992340088,2.182765245437622,0.8313018679618835
aux_delta_hnext_residual,0.997931718826294,0.9970351457595825,0.970902681350708,0.9940395355224609,0.795539379119873,0.8548116683959961,0.3338835537433624,1.0371421575546265,0.6300972700119019
