K,variant,profile,pos_x_r2,pos_y_r2,delta_x_r2,delta_y_r2,res_x_r2,res_y_r2,teacher_res_mse,hard_auc,hard_acc,mean_r2,h_var_min,h_abs_corr_max_offdiag
8,pos_only,light_aux,0.9993965029716492,0.9994762539863586,-0.048789143562316895,-0.1729741096496582,-0.029061317443847656,-0.08883166313171387,0.6812223196029663,0.5156338274478912,0.5495392084121704,-0.6225096583366394,0.864849328994751,0.753626823425293
8,pos_only,medium_aux,0.9995662569999695,0.9995225071907043,-0.10029268264770508,-0.1721055507659912,-0.004851222038269043,-0.01090705394744873,0.694907009601593,0.508053982257843,0.5294759273529053,-0.3492864966392517,0.7276808023452759,0.6151591539382935
8,pos_only,hard_weighted,0.9995772838592529,0.9995798468589783,0.022389888763427734,0.024516642093658447,-0.05117678642272949,-0.04436039924621582,0.6738256216049194,0.5087840795516968,0.5221756100654602,-0.3480105996131897,0.862594485282898,0.7515777349472046
8,pos_delta,light_aux,0.9995972514152527,0.9995008707046509,0.9432089328765869,0.9836692214012146,-0.01580190658569336,-0.046883344650268555,0.6891602277755737,0.4831467270851135,0.4128020405769348,-0.31765151023864746,0.36565250158309937,0.6486188173294067
8,pos_delta,medium_aux,0.9995958209037781,0.999516487121582,0.9558738470077515,0.9873714447021484,-0.04644036293029785,-0.03439128398895264,0.6659612059593201,0.5159113049507141,0.5950643420219421,-0.8046433925628662,0.23605965077877045,0.5817735195159912
8,pos_delta,hard_weighted,0.9995154142379761,0.9993910193443298,0.9555065035820007,0.9880465865135193,-0.029639840126037598,-0.029572725296020508,0.6582508683204651,0.5691727519035339,0.4973885416984558,-0.4594454765319824,0.3523516058921814,0.5381988286972046
8,pos_residual_teacher,light_aux,0.9962673187255859,0.9957654476165771,-0.00734555721282959,-0.07803070545196533,0.6172177791595459,0.3909027576446533,0.11626380681991577,0.4758609116077423,0.5225269794464111,-0.5020256042480469,1.0320603847503662,0.7058351039886475
8,pos_residual_teacher,medium_aux,0.9916234016418457,0.9934024810791016,-0.07581579685211182,-0.15359890460968018,0.6383620500564575,0.485529363155365,0.1085771918296814,0.5744392037391662,0.5678122639656067,-0.42369332909584045,0.7517293095588684,0.8818795084953308
8,pos_residual_teacher,hard_weighted,0.9880224466323853,0.9889566898345947,-0.00979304313659668,-0.0160142183303833,0.43281590938568115,0.6201034784317017,0.2594226002693176,0.45976482629776,0.31172147393226624,-1.0298863649368286,1.0230026245117188,0.7799883484840393
8,pos_hard_label,light_aux,0.9993937611579895,0.9994035959243774,-0.20500802993774414,0.06053882837295532,-0.013960599899291992,-0.03191208839416504,0.6740783452987671,0.8770623803138733,0.906032919883728,-0.3154798150062561,0.6701515913009644,0.5568956136703491
8,pos_hard_label,medium_aux,0.9989792704582214,0.9992040991783142,-0.29056787490844727,-0.0009899139404296875,-0.04842042922973633,-0.05204057693481445,0.691877543926239,0.9172257423400879,0.9347406625747681,-0.35999414324760437,0.45272231101989746,0.5483863353729248
8,pos_hard_label,hard_weighted,0.9974862337112427,0.9980288147926331,0.09766918420791626,-0.12164878845214844,-0.05751442909240723,-0.025925517082214355,0.6570407152175903,0.9281527996063232,0.9348493814468384,-0.14287208020687103,0.39870816469192505,0.7344578504562378
8,pos_hnext,light_aux,0.9989950060844421,0.9992460608482361,0.12259501218795776,-0.01707160472869873,-0.07650315761566162,-0.0337986946105957,0.7063830494880676,0.49744958281517027,0.560498058795929,0.8157610893249512,1.0297366380691528,0.6346163153648376
8,pos_hnext,medium_aux,0.9988124370574951,0.9986332058906555,-0.04251599311828613,-0.021163225173950195,-0.026406288146972656,-0.03566396236419678,0.6731426119804382,0.4964898109436035,0.5710358023643494,0.7577719688415527,0.8095961213111877,0.5184186100959778
8,pos_hnext,hard_weighted,0.9956461787223816,0.9963943362236023,0.026079177856445312,-0.005161881446838379,-0.04737567901611328,-0.04646658897399902,0.6778156161308289,0.4865500211715698,0.5220445394515991,0.7416894435882568,0.905179500579834,0.6710237264633179
8,pos_delta_residual_teacher_hard_hnext,light_aux,0.9963923692703247,0.9958359003067017,0.9467616081237793,0.9793067574501038,0.638090968132019,0.44902491569519043,0.09431811422109604,0.8999261379241943,0.9181712865829468,0.7882734537124634,0.6224215626716614,0.5947025418281555
8,pos_delta_residual_teacher_hard_hnext,medium_aux,0.9919326305389404,0.9916855096817017,0.9538285732269287,0.9819090962409973,0.6409831047058105,0.4500996470451355,0.0962306335568428,0.911435866355896,0.9279589653015137,0.7686891555786133,0.4866340756416321,0.6725260615348816
8,pos_delta_residual_teacher_hard_hnext,hard_weighted,0.9915189743041992,0.9914092421531677,0.9456831216812134,0.9823834300041199,0.5825581550598145,0.5415201187133789,0.13576747477054596,0.9101529836654663,0.9227946400642395,0.695631206035614,0.4751709997653961,0.7914597392082214
16,pos_only,light_aux,0.9997003078460693,0.9997305870056152,-0.09376728534698486,0.06153392791748047,-0.037645816802978516,-0.027603983879089355,0.6673345565795898,0.49978649616241455,0.5213669538497925,-0.5031780004501343,0.3058585822582245,0.8576944470405579
16,pos_only,medium_aux,0.9997134208679199,0.9997633695602417,-0.019934773445129395,-0.010060667991638184,-0.05250978469848633,-0.023297667503356934,0.6726912260055542,0.49993081092834474,0.40336018800735474,-0.7435175776481628,0.30047956109046936,0.7083061337471008
16,pos_only,hard_weighted,0.999653697013855,0.9997373223304749,0.051638901233673096,-0.03189730644226074,-0.07763206958770752,-0.018573284149169922,0.6729688048362732,0.48844012022018435,0.5600184202194214,-0.47359395027160645,0.6291431784629822,0.8705387711524963
16,pos_delta,light_aux,0.9997611045837402,0.9997446537017822,0.9516265988349915,0.9877992868423462,-0.02927541732788086,-0.02292633056640625,0.6550853848457336,0.4847250521183014,0.5289432406425476,-0.6994515657424927,0.28709012269973755,0.7386379241943359
16,pos_delta,medium_aux,0.9997262954711914,0.9996690154075623,0.9624378085136414,0.9903069138526917,-0.087699294090271,-0.011403203010559082,0.6683005094528198,0.4702436089515686,0.4737616181373596,-1.5450561046600342,0.17724718153476715,0.744260847568512
16,pos_delta,hard_weighted,0.9996780157089233,0.999518871307373,0.9625041484832764,0.9913123846054077,-0.041051626205444336,-0.007803201675415039,0.6764198541641235,0.5837415933609009,0.5599877238273621,-1.3264166116714478,0.25949251651763916,0.7013161182403564
16,pos_residual_teacher,light_aux,0.9971449971199036,0.9968092441558838,-0.010176777839660645,-0.053592681884765625,0.701449990272522,0.6441898345947266,0.05525463819503784,0.3978970587253571,0.3798195719718933,-0.992252767086029,0.46087926626205444,0.7640491127967834
16,pos_residual_teacher,medium_aux,0.9946653246879578,0.9941096901893616,-0.012914538383483887,0.07827156782150269,0.6598222255706787,0.6499930620193481,0.07469353824853897,0.4682861387729645,0.2591581642627716,-1.0020761489868164,0.2744775712490082,0.8048599362373352
16,pos_residual_teacher,hard_weighted,0.9940606355667114,0.9939272403717041,0.05018925666809082,0.0009223818778991699,0.657719612121582,0.6986041069030762,0.0693574920296669,0.6001535475254058,0.6625880002975464,-1.087814450263977,0.34044691920280457,0.8592846989631653
16,pos_hard_label,light_aux,0.999626100063324,0.9996708035469055,-0.15965509414672852,-0.056026339530944824,-0.038118839263916016,-0.023608922958374023,0.6588413119316101,0.8931760311126709,0.9153995513916016,-0.3737052381038666,0.2949581444263458,0.7804161310195923
16,pos_hard_label,medium_aux,0.999248206615448,0.9994565844535828,-0.18613815307617188,0.03512275218963623,0.021252930164337158,-0.011541366577148438,0.6397932171821594,0.9253801703453064,0.938569188117981,-0.8043270111083984,0.10662233829498291,0.7470409274101257
16,pos_hard_label,hard_weighted,0.9984381794929504,0.9986749291419983,0.05448734760284424,-0.11050605773925781,-0.02741694450378418,-0.030441641807556152,0.7301867008209229,0.9350244641304016,0.9416309595108032,-0.39431145787239075,0.1800013780593872,0.7312753796577454
16,pos_hnext,light_aux,0.9995845556259155,0.9996241927146912,-0.08922374248504639,0.006450831890106201,-0.036071062088012695,-0.05507826805114746,0.6969590783119202,0.5194667100906372,0.49324482679367065,0.8103867173194885,0.5087302923202515,0.8204352855682373
16,pos_hnext,medium_aux,0.9992771744728088,0.9994218349456787,-0.1693476438522339,-0.11619687080383301,-0.05457866191864014,-0.03912365436553955,0.6740686893463135,0.5051482081413269,0.5715125799179077,0.7694379687309265,0.40855780243873596,0.7778444886207581
16,pos_hnext,hard_weighted,0.9991210103034973,0.9993406534194946,0.07578837871551514,0.09037810564041138,-0.019748449325561523,-0.06383931636810303,0.6807317137718201,0.47716471552848816,0.5528714060783386,0.7818074822425842,0.6834136247634888,0.6749258041381836
16,pos_delta_residual_teacher_hard_hnext,light_aux,0.9972003698348999,0.9976629018783569,0.9573872685432434,0.9876377582550049,0.6922609806060791,0.5886186361312866,0.052006613463163376,0.9079597592353821,0.9228671789169312,0.7474696636199951,0.2879489064216614,0.7291101217269897
16,pos_delta_residual_teacher_hard_hnext,medium_aux,0.9953981041908264,0.9945021867752075,0.9556508660316467,0.9866246581077576,0.6822623014450073,0.6730759739875793,0.0672706887125969,0.915920639038086,0.9325154423713684,0.7476864457130432,0.2015470713376999,0.7615613341331482
16,pos_delta_residual_teacher_hard_hnext,hard_weighted,0.9934578537940979,0.9932636618614197,0.9510596394538879,0.9861048460006714,0.6470599174499512,0.6665806770324707,0.07694321870803833,0.9212650418281555,0.9317151308059692,0.7014418244361877,0.25166523456573486,0.78325355052948
